EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,43,No,Travel_Frequently,1155,Research & Development,27,1,Other,1,4,Female,36,2,5,Manufacturing Director,3,Married,3894,22496,7,Y,No,21,3,1,80,1,35,2,3,35,1,4,9
30,49,No,Travel_Rarely,562,Research & Development,27,1,Technical Degree,1,1,Male,93,3,5,Manufacturing Director,2,Divorced,8850,11053,6,Y,No,24,3,4,80,1,40,3,3,7,0,4,12
31,50,No,Travel_Frequently,1304,Sales,19,4,Medical,1,4,Female,74,3,5,Manager,3,Divorced,14605,14454,7,Y,No,25,3,2,80,1,17,4,3,8,2,12,7
32,38,No,Travel_Frequently,307,Research & Development,28,4,Life Sciences,1,4,Male,48,4,2,Research Scientist,4,Single,5993,17478,4,Y,Yes,16,3,4,80,0,30,6,1,30,12,10,17
33,58,No,Travel_Frequently,303,Research & Development,25,1,Technical Degree,1,2,Female,33,1,3,Manager,2,Single,3251,11707,5,Y,No,16,3,2,80,3,31,4,3,31,17,5,5
34,57,No,Non-Travel,121,Sales,29,4,Marketing,1,2,Male,86,3,5,Sales Executive,2,Married,5698,23030,6,Y,No,22,3,3,80,1,31,3,4,24,7,15,3
35,54,No,Non-Travel,202,Sales,20,4,Marketing,1,2,Female,58,2,5,Sales Representative,1,Married,10683,24302,2,Y,Yes,21,3,1,80,2,22,6,4,22,18,14,1
36,26,No,Travel_Frequently,1189,Human Resources,17,3,Medical,1,3,Female,67,3,1,Manager,2,Married,14624,4561,2,Y,Yes,23,4,4,80,2,20,0,2,5,5,12,0
37,25,No,Non-Travel,1251,Research & Development,11,5,Medical,1,1,Female,68,4,1,Healthcare Representative,3,Single,13494,3579,0,Y,No,15,4,1,80,0,29,1,1,29,11,4,12
38,60,No,Travel_Frequently,169,Research & Development,23,3,Medical,1,4,Female,60,3,1,Manager,4,Divorced,6072,14130,8,Y,No,25,4,3,80,0,37,3,1,34,13,8,6
39,23,Yes,Non-Travel,526,Sales,19,2,Medical,1,3,Male,30,3,2,Sales Representative,2,Single,11937,19795,4,Y,No,23,3,1,80,1,13,0,2,13,0,11,7
40,19,No,Travel_Frequently,1153,Human Resources,19,1,Technical Degree,1,2,Male,96,3,4,Manager,4,Divorced,5162,3114,0,Y,No,18,4,4,80,0,11,3,1,11,8,14,2
41,56,No,Travel_Frequently,1137,Sales,20,4,Life Sciences,1,1,Male,85,4,2,Sales Representative,3,Married,10020,13200,7,Y,No,17,3,1,80,2,9,3,4,9,2,10,8
42,48,No,Travel_Rarely,1241,Research & Development,2,5,Human Resources,1,3,Male,82,3,4,Laboratory Technician,4,Divorced,4063,3779,4,Y,No,20,3,1,80,1,5,1,1,4,2,15,7
43,53,No,Non-Travel,1358,Sales,22,5,Life Sciences,1,3,Male,53,3,3,Sales Representative,2,Married,19821,13596,0,Y,No,13,4,4,80,0,23,1,4,23,3,0,2
44,42,No,Non-Travel,1323,Human Resources,3,1,Medical,1,2,Male,40,3,4,Human Resources,3,Divorced,6166,15988,7,Y,No,20,3,3,80,1,26,6,3,26,14,3,11
45,36,No,Travel_Rarely,520,Research & Development,10,2,Medical,1,3,Female,71,1,1,Research Scientist,1,Married,11115,26572,6,Y,No,13,3,2,80,2,37,0,2,37,15,12,1
46,47,No,Travel_Frequently,453,Research & Development,26,5,Technical Degree,1,3,Male,85,1,2,Research Scientist,4,Married,15075,21390,6,Y,No,19,3,3,80,2,36,1,4,4,4,10,5
47,58,No,Travel_Rarely,585,Sales,4,2,Marketing,1,2,Male,49,1,2,Manager,3,Divorced,7362,18285,7,Y,No,23,3,4,80,2,32,6,3,7,7,10,4
48,48,No,Travel_Rarely,857,Research & Development,27,3,Life Sciences,1,1,Female,89,1,4,Research Scientist,3,Divorced,2849,23453,3,Y,No,16,3,2,80,0,28,3,1,28,9,3,10
49,50,No,Travel_Frequently,939,Human Resources,25,3,Other,1,1,Female,38,3,1,Human Resources,4,Divorced,15353,24323,6,Y,No,15,3,2,80,2,15,0,2,11,1,4,11
50,60,No,Travel_Rarely,1474,Research & Development,23,5,Life Sciences,1,4,Female,32,3,3,Manufacturing Director,3,Single,3785,9112,5,Y,No,23,3,2,80,1,38,1,4,25,4,2,9
51,52,No,Non-Travel,441,Sales,24,4,Life Sciences,1,4,Female,60,4,5,Manager,4,Married,5303,26748,7,Y,Yes,14,3,3,80,3,33,6,2,33,1,6,11
52,47,No,Travel_Rarely,614,Human Resources,2,4,Marketing,1,1,Male,66,1,2,Manager,4,Married,18292,16817,8,Y,No,13,3,1,80,1,32,6,2,18,12,14,11
53,21,Yes,Travel_Rarely,1433,Sales,11,2,Medical,1,1,Female,90,2,4,Sales Representative,4,Married,8734,22257,0,Y,No,25,3,3,80,1,25,6,1,25,16,4,17
54,25,No,Travel_Frequently,230,Human Resources,4,4,Human Resources,1,1,Male,48,3,4,Manager,1,Single,5001,22240,5,Y,No,14,3,2,80,0,19,4,2,18,7,11,2
55,42,No,Travel_Rarely,808,Human Resources,8,1,Human Resources,1,3,Male,35,3,5,Human Resources,3,Married,13686,23157,2,Y,No,24,3,4,80,3,40,5,3,30,1,5,4
56,47,Yes,Travel_Frequently,1214,Sales,16,3,Life Sciences,1,2,Female,75,1,3,Manager,2,Married,2444,6172,5,Y,No,17,4,4,80,3,12,2,1,2,2,5,15
57,41,No,Non-Travel,703,Human Resources,11,1,Life Sciences,1,3,Female,69,4,5,Manager,1,Divorced,14919,16056,2,Y,No,22,3,4,80,0,33,5,4,33,8,11,13
58,21,No,Travel_Frequently,173,Research & Development,5,1,Medical,1,3,Female,79,1,5,Manufacturing Director,2,Single,17821,24345,7,Y,Yes,16,3,1,80,1,23,4,1,4,4,11,12
59,35,Yes,Travel_Frequently,1015,Research & Development,7,5,Marketing,1,4,Male,45,2,1,Manufacturing Director,4,Married,7105,7751,7,Y,No,12,3,3,80,2,15,5,4,15,3,2,17
60,37,No,Travel_Rarely,1113,Human Resources,1,3,Human Resources,1,3,Female,100,2,5,Manager,2,Single,17679,4248,4,Y,No,17,4,4,80,3,23,6,1,10,5,13,2
61,59,No,Non-Travel,1305,Sales,6,2,Technical Degree,1,1,Male,96,2,3,Sales Representative,3,Single,17961,7401,5,Y,No,25,3,3,80,2,29,6,2,4,4,2,8
62,53,No,Travel_Rarely,1451,Sales,20,5,Marketing,1,1,Male,40,1,5,Manager,1,Married,10931,23430,3,Y,No,23,3,1,80,3,40,5,2,17,4,9,9
63,43,No,Travel_Frequently,1344,Research & Development,5,3,Other,1,3,Female,81,2,3,Laboratory Technician,2,Divorced,2972,20498,1,Y,No,16,3,1,80,2,19,3,4,19,14,7,4
64,36,Yes,Non-Travel,1058,Sales,16,3,Technical Degree,1,1,Male,80,4,2,Sales Executive,3,Single,6242,21209,5,Y,Yes,11,3,4,80,3,24,2,3,24,13,0,3
65,34,Yes,Non-Travel,693,Research & Development,3,4,Human Resources,1,4,Female,45,2,1,Laboratory Technician,4,Married,2491,14322,5,Y,No,19,4,2,80,1,23,4,1,23,12,12,16
66,20,No,Travel_Frequently,1357,Sales,11,2,Technical Degree,1,3,Female,94,4,5,Sales Executive,4,Married,18026,17655,0,Y,No,16,3,1,80,3,30,4,2,8,8,9,0
67,34,No,Travel_Frequently,404,Human Resources,27,2,Life Sciences,1,1,Male,32,4,3,Manager,4,Married,2691,7056,6,Y,No,22,3,4,80,0,37,5,2,37,18,4,16
68,38,No,Travel_Frequently,1486,Sales,25,3,Human Resources,1,4,Male,61,3,5,Manager,2,Married,11290,9462,4,Y,No,23,3,2,80,3,30,2,4,30,16,15,11
69,36,No,Travel_Frequently,188,Human Resources,10,1,Marketing,1,4,Female,91,2,2,Manager,4,Divorced,13450,10978,8,Y,No,22,3,1,80,1,34,1,3,7,7,1,16
70,32,Yes,Non-Travel,425,Sales,14,4,Technical Degree,1,2,Female,71,3,1,Manager,4,Single,11832,23468,9,Y,No,14,3,1,80,1,26,3,1,3,3,5,1
71,29,No,Non-Travel,1175,Research & Development,16,2,Human Resources,1,4,Female,54,1,3,Research Director,1,Single,10786,26051,7,Y,No,21,3,2,80,0,18,5,3,18,1,10,9
72,29,Yes,Travel_Rarely,1079,Human Resources,11,2,Life Sciences,1,3,Female,60,4,3,Human Resources,3,Married,17893,11988,9,Y,No,22,3,3,80,2,39,5,1,39,12,7,1
73,47,No,Travel_Frequently,1360,Human Resources,8,2,Medical,1,4,Male,88,3,4,Human Resources,3,Divorced,17475,20091,7,Y,No,23,3,2,80,1,25,5,1,19,5,2,16
74,41,No,Travel_Frequently,340,Research & Development,22,2,Other,1,4,Male,95,4,1,Healthcare Representative,2,Married,3032,6417,8,Y,Yes,17,3,1,80,3,7,5,2,4,4,9,0
75,18,No,Travel_Rarely,243,Research & Development,16,1,Marketing,1,4,Male,47,4,3,Manager,4,Married,2493,16791,6,Y,No,17,3,2,80,2,13,0,3,13,13,5,17
76,26,No,Travel_Rarely,1045,Research & Development,12,2,Marketing,1,2,Male,34,4,5,Healthcare Representative,4,Single,10785,9980,3,Y,No,12,3,1,80,3,14,4,4,14,0,1,7
77,43,Yes,Non-Travel,1281,Human Resources,11,5,Human Resources,1,3,Male,68,2,5,Human Resources,1,Single,8128,15645,4,Y,No,15,3,2,80,3,34,4,2,28,7,15,1
78,60,Yes,Non-Travel,1071,Research & Development,8,2,Marketing,1,2,Female,37,4,4,Manufacturing Director,4,Divorced,14651,19460,2,Y,No,17,3,2,80,2,24,5,2,24,16,2,14
79,52,No,Non-Travel,1477,Research & Development,18,2,Technical Degree,1,2,Female,68,1,2,Research Scientist,1,Single,13368,26390,1,Y,Yes,22,4,4,80,1,17,5,1,12,1,6,12
80,38,No,Travel_Frequently,1056,Sales,4,4,Marketing,1,2,Female,70,4,1,Manager,3,Divorced,18495,9344,2,Y,Yes,11,3,4,80,2,29,1,3,18,12,6,10
81,54,No,Travel_Frequently,1045,Sales,6,3,Medical,1,2,Female,53,1,5,Sales Representative,3,Single,12070,4529,0,Y,No,23,3,2,80,1,35,0,4,15,15,4,0
82,47,No,Travel_Rarely,136,Sales,17,3,Human Resources,1,3,Male,94,4,2,Manager,4,Single,16842,5250,8,Y,Yes,13,3,3,80,2,39,2,1,23,1,12,2
83,47,Yes,Non-Travel,1076,Research & Development,2,1,Other,1,2,Male,93,4,3,Research Director,1,Divorced,10838,5218,8,Y,Yes,25,3,2,80,3,36,2,1,36,7,1,2
84,52,No,Non-Travel,917,Human Resources,3,3,Medical,1,2,Female,99,3,4,Manager,1,Divorced,11314,6679,1,Y,No,19,3,3,80,0,36,0,2,36,1,13,7
85,56,No,Travel_Frequently,986,Sales,6,5,Other,1,4,Male,67,2,1,Sales Representative,3,Single,1979,10874,2,Y,No,17,3,2,80,3,39,2,4,39,12,11,3
86,37,Yes,Non-Travel,1151,Sales,14,1,Life Sciences,1,1,Female,100,1,5,Sales Executive,2,Divorced,4358,12724,6,Y,Yes,11,3,4,80,0,28,5,1,28,11,7,16
87,42,Yes,Travel_Frequently,964,Sales,10,4,Life Sciences,1,3,Female,61,4,5,Manager,3,Divorced,10876,8501,7,Y,Yes,12,3,1,80,3,17,2,4,10,4,12,10
88,45,No,Travel_Frequently,698,Research & Development,24,4,Human Resources,1,2,Female,78,3,4,Manager,2,Married,11516,5825,9,Y,No,14,3,2,80,0,38,5,4,38,4,14,6
89,22,No,Travel_Frequently,253,Research & Development,15,5,Technical Degree,1,4,Female,99,1,3,Manager,2,Divorced,10932,19687,9,Y,No,21,4,1,80,1,26,5,3,26,15,11,5
90,54,No,Non-Travel,1244,Human Resources,19,5,Medical,1,4,Female,80,4,5,Human Resources,1,Divorced,4480,18493,2,Y,Yes,16,4,4,80,0,27,2,1,25,10,13,2
91,27,Yes,Non-Travel,1028,Sales,11,1,Marketing,1,1,Male,32,3,1,Manager,2,Divorced,15929,7479,3,Y,No,19,3,2,80,2,22,4,4,22,9,13,14
92,58,No,Travel_Frequently,1314,Sales,14,4,Life Sciences,1,2,Male,65,1,5,Sales Representative,4,Single,15169,19686,2,Y,No,16,3,4,80,0,40,2,1,11,5,15,16
93,56,No,Non-Travel,711,Human Resources,20,5,Life Sciences,1,2,Female,45,2,3,Manager,3,Single,4752,8092,5,Y,No,22,3,4,80,3,37,4,3,24,12,4,12
94,49,Yes,Travel_Frequently,1370,Research & Development,2,3,Life Sciences,1,4,Male,54,4,5,Laboratory Technician,2,Divorced,19192,23493,7,Y,No,17,3,4,80,3,40,3,4,40,17,5,2
95,32,No,Travel_Frequently,1227,Human Resources,17,1,Human Resources,1,1,Female,99,3,5,Human Resources,3,Single,8376,26997,7,Y,No,19,3,4,80,0,18,5,2,18,1,7,9
96,34,No,Travel_Frequently,1351,Sales,21,4,Medical,1,2,Male,56,1,5,Sales Representative,2,Married,4855,19535,4,Y,No,20,3,3,80,2,28,2,2,22,2,8,16
97,26,Yes,Travel_Rarely,1486,Human Resources,13,4,Medical,1,3,Female,78,4,1,Human Resources,2,Divorced,5166,5144,6,Y,Yes,19,3,3,80,3,26,3,2,26,1,10,0
98,47,No,Travel_Frequently,651,Human Resources,11,3,Marketing,1,2,Female,73,1,1,Human Resources,4,Single,18521,22612,7,Y,No,11,3,2,80,3,40,3,2,40,11,0,13
99,26,No,Non-Travel,440,Sales,2,4,Other,1,3,Male,84,1,1,Manager,3,Single,4067,9087,7,Y,Yes,12,3,2,80,3,19,0,3,19,5,0,10
100,26,Yes,Travel_Frequently,382,Sales,13,2,Other,1,2,Male,97,1,5,Sales Representative,1,Divorced,13561,7471,7,Y,Yes,16,3,2,80,3,30,4,1,30,2,14,6
101,26,No,Non-Travel,274,Sales,8,5,Human Resources,1,3,Male,68,2,5,Sales Executive,4,Divorced,12528,18790,3,Y,No,22,3,1,80,1,24,3,3,7,7,12,3
102,58,No,Non-Travel,963,Sales,12,5,Other,1,2,Female,39,1,5,Sales Representative,3,Single,1404,2545,4,Y,Yes,14,3,1,80,3,38,4,3,38,2,9,16
103,43,No,Travel_Rarely,420,Research & Development,18,3,Technical Degree,1,1,Female,85,2,1,Research Director,3,Single,6012,4919,6,Y,No,12,3,1,80,2,34,5,1,5,5,5,3
104,26,No,Travel_Frequently,343,Sales,25,1,Marketing,1,4,Female,97,1,3,Manager,3,Divorced,12369,20989,1,Y,No,18,3,3,80,0,31,3,2,0,0,5,11
105,24,Yes,Travel_Rarely,1068,Sales,12,4,Medical,1,2,Male,100,4,2,Sales Representative,1,Married,17682,10229,6,Y,No,25,3,3,80,0,36,4,1,36,3,11,3
106,29,No,Travel_Frequently,772,Human Resources,3,5,Technical Degree,1,1,Female,55,3,5,Human Resources,1,Married,14146,26328,9,Y,No,14,3,4,80,1,14,5,4,14,14,7,4
107,19,Yes,Non-Travel,731,Sales,4,2,Human Resources,1,2,Female,92,1,2,Sales Representative,3,Divorced,1323,11263,1,Y,No,11,4,4,80,2,22,3,1,14,14,2,3
108,58,Yes,Travel_Frequently,636,Human Resources,28,3,Technical Degree,1,3,Female,87,3,2,Human Resources,1,Single,19615,8736,2,Y,No,23,3,1,80,1,37,0,4,25,2,5,14
109,44,No,Travel_Rarely,424,Research & Development,26,3,Other,1,1,Male,71,2,1,Manager,4,Divorced,7812,10227,5,Y,No,17,3,3,80,2,22,6,3,7,7,5,0
110,53,Yes,Travel_Rarely,369,Research & Development,7,4,Marketing,1,1,Female,39,1,1,Research Director,1,Single,16149,23261,7,Y,Yes,23,3,3,80,0,35,0,2,35,7,14,1
111,45,No,Travel_Frequently,675,Sales,15,2,Life Sciences,1,2,Female,93,4,5,Manager,4,Married,13550,4092,1,Y,No,15,3,4,80,1,25,5,2,25,15,7,17
112,40,Yes,Non-Travel,550,Sales,1,3,Life Sciences,1,4,Female,59,2,1,Sales Representative,3,Single,12282,23618,3,Y,Yes,15,3,1,80,1,31,4,4,30,17,12,11
113,33,Yes,Travel_Frequently,1212,Sales,10,2,Technical Degree,1,1,Male,37,2,5,Sales Executive,3,Single,1933,2747,8,Y,No,18,3,2,80,1,37,2,2,37,10,5,10
114,27,No,Travel_Frequently,1302,Sales,4,3,Marketing,1,3,Male,50,4,4,Sales Executive,3,Divorced,18254,12490,2,Y,No,22,4,3,80,1,37,5,1,37,4,5,12
115,36,Yes,Non-Travel,554,Research & Development,21,5,Life Sciences,1,4,Male,72,1,2,Manufacturing Director,4,Married,19779,12563,2,Y,Yes,21,4,1,80,2,8,3,1,8,5,0,8
116,22,Yes,Travel_Rarely,949,Sales,16,4,Marketing,1,4,Male,91,2,2,Sales Executive,1,Married,1050,4509,0,Y,No,15,3,3,80,0,22,0,4,22,8,10,5
117,22,Yes,Travel_Frequently,423,Research & Development,2,1,Marketing,1,2,Male,82,3,3,Laboratory Technician,1,Married,16827,9877,1,Y,No,11,3,4,80,1,35,0,4,35,2,11,0
118,36,Yes,Travel_Rarely,1071,Research & Development,28,1,Marketing,1,4,Female,92,3,1,Research Scientist,1,Divorced,4187,19923,6,Y,Yes,13,3,4,80,2,40,1,2,40,15,14,1
119,47,No,Travel_Rarely,1470,Research & Development,12,5,Technical Degree,1,2,Male,79,4,5,Research Director,1,Divorced,19498,17653,9,Y,No,25,3,3,80,0,17,3,2,16,7,1,16
120,25,Yes,Non-Travel,993,Human Resources,7,2,Human Resources,1,3,Female,38,1,4,Human Resources,2,Divorced,7952,15114,8,Y,Yes,16,4,4,80,0,28,6,2,28,5,13,3
121,27,No,Travel_Frequently,943,Research & Development,9,4,Other,1,4,Female,34,2,3,Laboratory Technician,1,Married,4292,6807,9,Y,No,20,3,4,80,0,37,3,1,36,18,10,7
122,48,No,Non-Travel,303,Sales,28,2,Medical,1,3,Female,71,3,4,Manager,3,Divorced,12080,23247,1,Y,No,14,3,4,80,3,17,6,3,17,11,11,1
123,22,No,Travel_Rarely,612,Human Resources,2,4,Life Sciences,1,3,Male,65,3,4,Human Resources,1,Divorced,5453,15101,1,Y,Yes,21,3,3,80,3,25,4,2,19,16,14,5
124,53,Yes,Non-Travel,540,Research & Development,28,2,Other,1,2,Male,64,4,5,Healthcare Representative,1,Single,9484,24448,0,Y,Yes,18,4,2,80,0,22,1,3,22,11,8,9
125,45,No,Non-Travel,915,Human Resources,19,1,Life Sciences,1,3,Female,68,1,4,Manager,2,Single,9266,13113,4,Y,No,21,3,3,80,2,29,5,4,24,11,9,6
126,33,Yes,Travel_Frequently,930,Sales,13,1,Human Resources,1,2,Female,58,4,3,Manager,1,Divorced,5594,11930,2,Y,No,24,3,2,80,2,20,0,4,3,3,15,4
127,53,No,Travel_Frequently,863,Human Resources,9,5,Marketing,1,4,Male,90,1,5,Manager,3,Divorced,8291,22431,1,Y,No,18,4,1,80,3,11,4,2,11,10,9,13
128,26,No,Travel_Rarely,1100,Sales,11,2,Marketing,1,1,Male,87,3,2,Sales Executive,4,Single,19667,20977,2,Y,No,18,3,1,80,1,26,4,2,12,10,13,13
129,48,No,Non-Travel,492,Research & Development,1,1,Other,1,2,Male,74,3,2,Research Director,2,Single,18499,14662,8,Y,No,20,3,1,80,0,24,2,3,24,0,9,14
130,45,No,Travel_Frequently,141,Human Resources,8,2,Other,1,2,Male,32,2,1,Manager,2,Married,12780,25395,0,Y,No,17,4,3,80,0,31,4,2,8,8,1,3
131,21,Yes,Non-Travel,1392,Human Resources,1,3,Technical Degree,1,1,Female,47,4,1,Human Resources,1,Divorced,13469,25646,9,Y,No,12,3,1,80,3,28,1,3,7,7,6,8
132,40,No,Travel_Rarely,107,Human Resources,1,1,Life Sciences,1,4,Male,41,1,1,Human Resources,4,Married,2300,23207,3,Y,No,18,4,3,80,2,26,3,2,26,9,1,3
133,36,Yes,Non-Travel,451,Sales,11,3,Technical Degree,1,3,Male,77,3,2,Sales Executive,1,Single,4806,15226,6,Y,Yes,18,3,4,80,3,27,6,1,23,10,13,5
134,21,No,Non-Travel,161,Sales,28,2,Technical Degree,1,4,Male,82,4,1,Sales Executive,4,Single,16825,10666,5,Y,No,11,3,2,80,2,26,4,2,10,3,3,13
135,48,Yes,Travel_Frequently,1117,Human Resources,28,2,Life Sciences,1,4,Female,60,3,3,Human Resources,1,Single,19304,18705,3,Y,No,19,3,4,80,1,22,0,1,22,12,14,14
136,23,No,Non-Travel,1226,Human Resources,1,1,Human Resources,1,3,Male,88,3,3,Manager,4,Single,4898,9398,7,Y,Yes,16,3,4,80,2,31,5,1,31,14,14,3
137,32,Yes,Travel_Rarely,940,Sales,4,3,Human Resources,1,2,Male,45,4,2,Manager,3,Married,10576,8338,5,Y,Yes,12,3,1,80,0,22,6,1,0,0,14,14
138,49,No,Travel_Rarely,1286,Human Resources,6,2,Life Sciences,1,4,Female,94,4,4,Human Resources,4,Divorced,19137,24786,3,Y,No,15,3,3,80,2,3,3,4,0,0,4,4
139,50,No,Non-Travel,809,Research & Development,22,2,Other,1,2,Female,44,3,5,Healthcare Representative,2,Married,19148,21191,9,Y,Yes,21,3,3,80,3,20,6,2,19,17,0,16
140,42,No,Travel_Rarely,229,Sales,23,3,Medical,1,1,Female,87,1,5,Sales Executive,3,Divorced,7559,26325,8,Y,No,24,3,4,80,1,9,4,2,9,1,9,1
141,44,No,Travel_Frequently,563,Research & Development,21,3,Human Resources,1,2,Male,67,4,2,Research Director,3,Divorced,1433,4534,2,Y,No,13,3,1,80,3,20,0,2,20,17,13,8
142,26,Yes,Travel_Rarely,762,Human Resources,20,1,Other,1,3,Female,100,3,1,Manager,3,Divorced,1193,12509,8,Y,No,14,4,1,80,1,16,3,4,10,10,12,2
